sep=;
Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
DIS;202404111520;14.40;0.00;10.00;438.00;54.70;5.40;63.00;5.40;10.80;894.40;-;1032.40;1626.80;-;-;-;-;-;-;-
EBK;202404111520;14.60;0.00;10.00;427.00;54.50;5.50;318.00;10.10;16.60;959.00;-;1032.90;1632.90;-;-;-;-;-;-;-
EGH;202404111520;-;-;-;0.00;90.90;-0.20;89.00;6.80;11.90;727.20;-;1035.30;-;3199.00;-;-;-;-;-;-
EGO;202404111520;15.30;0.00;-;450.00;52.00;5.50;91.00;12.60;23.80;970.50;1031.80;1032.70;-;-;-;-;-;-;-;-
EIN;202404111520;12.00;0.00;10.00;434.00;64.30;5.50;341.00;9.40;15.80;926.60;-;1033.10;1628.60;-;-;-;-;-;-;-
ELM;202404111520;13.30;0.00;10.00;428.00;62.90;6.40;321.00;11.90;16.90;920.70;-;1032.40;1626.00;-;-;-;-;-;-;-
ENG;202404111520;11.90;0.00;10.00;454.00;59.90;4.40;238.00;14.40;21.20;912.60;-;1033.00;1628.20;-;-;-;-;-;-;-
EVI;202404111520;16.60;0.00;10.00;458.00;52.00;6.70;334.00;22.00;40.00;973.30;1029.70;1030.80;-;-;-;-;-;-;-;-
EVO;202404111520;11.70;0.00;10.00;511.00;55.20;3.00;264.00;5.40;8.60;828.20;-;1032.60;1610.70;-;-;-;-;-;-;-
FAH;202404111520;14.70;0.00;10.00;559.00;43.10;2.30;73.00;7.90;14.80;962.00;1031.90;1032.90;-;-;-;-;-;-;-;-
FLU;202404111520;11.90;0.00;-;-;64.90;5.50;334.00;15.80;26.30;-;-;-;-;-;-;-;-;-;-;-
GRA;202404111520;14.00;0.00;0.00;243.00;61.50;6.70;40.00;11.50;16.20;955.20;-;1032.20;1625.30;-;-;-;-;-;-;-
FRU;202404111520;15.00;0.00;10.00;446.00;59.20;7.10;47.00;13.70;23.80;-;-;-;-;-;-;-;-;-;-;-
GVE;202404111520;16.60;0.00;10.00;476.00;47.40;5.40;35.00;9.40;14.00;982.50;1031.00;1031.80;-;-;-;-;-;-;-;-
GES;202404111520;14.40;0.00;-;-;54.80;5.40;160.00;3.20;6.80;970.70;1032.10;1032.80;-;-;-;-;-;-;-;-
GIH;202404111520;16.20;0.00;10.00;433.00;52.80;6.60;53.00;5.40;13.70;976.50;1031.90;1032.80;-;-;-;-;-;-;-;-
GLA;202404111520;15.40;0.00;10.00;393.00;57.00;6.90;283.00;20.20;34.20;970.60;1031.30;1032.20;-;-;-;-;-;-;-;-
GOR;202404111520;1.50;-;10.00;550.00;46.40;-8.70;149.00;4.30;8.60;706.10;-;1036.00;-;3201.40;-;-;-;-;-;-
GRE;202404111520;15.60;0.00;0.00;258.00;58.20;7.40;89.00;12.60;17.30;981.10;1031.70;1032.40;-;-;-;-;-;-;-;-
GRH;202404111520;5.00;0.00;10.00;490.00;73.70;0.70;178.00;1.40;4.00;815.90;-;1034.00;1625.70;-;-;-;-;-;-;-
GRO;202404111520;22.80;0.00;10.00;405.00;39.10;8.20;199.00;8.30;12.20;988.20;1025.50;1027.00;-;-;-;-;-;-;-;-
GRC;202404111520;13.00;0.00;10.00;493.00;49.10;2.60;-;-;-;850.30;-;1031.60;1608.80;-;-;-;-;-;-;-
GOS;202404111520;11.30;0.00;-;-;67.20;5.40;315.00;6.50;13.00;921.80;-;1032.70;1623.70;-;-;-;-;-;-;-
GOE;202404111520;16.30;0.00;10.00;271.00;49.50;5.70;104.00;10.80;19.10;986.80;1031.90;1032.50;-;-;-;-;-;-;-;-
GUE;202404111520;4.50;0.00;10.00;502.00;68.60;-0.80;56.00;11.50;15.10;783.70;-;1034.20;1620.20;-;-;-;-;-;-;-
GUT;202404111520;15.40;0.00;10.00;401.00;48.80;4.70;101.00;6.10;11.50;980.30;1032.40;1033.00;-;-;-;-;-;-;-;-
HLL;202404111520;16.80;0.00;10.00;425.00;48.10;5.80;92.00;8.30;14.80;982.40;1031.70;1032.60;-;-;-;-;-;-;-;-
HOE;202404111520;10.10;0.00;10.00;453.00;62.80;3.30;23.00;7.60;19.40;902.20;-;1033.30;1627.20;-;-;-;-;-;-;-
ILZ;202404111520;17.20;0.00;10.00;412.00;49.80;6.60;-;-;-;948.90;-;1031.30;1628.90;-;-;-;-;-;-;-
INT;202404111520;16.10;0.00;10.00;432.00;52.90;6.50;299.00;12.20;22.00;963.10;1030.40;1031.70;-;-;-;-;-;-;-;-
JUN;202404111520;-1.20;-;10.00;533.00;50.90;-10.10;164.00;12.20;14.00;668.10;-;1037.40;-;3202.10;-;-;-;-;-;-
KOP;202404111520;15.20;0.00;0.00;174.00;49.30;4.70;50.00;15.10;24.10;974.50;1031.70;1032.40;-;-;-;-;-;-;-;-
BRL;202404111520;12.10;0.00;10.00;496.00;57.50;4.00;49.00;10.40;19.80;910.90;-;1032.80;1627.10;-;-;-;-;-;-;-
CDF;202404111520;12.60;0.00;10.00;460.00;54.00;3.50;46.00;12.20;20.90;914.40;-;1032.70;1627.50;-;-;-;-;-;-;-
DOL;202404111520;8.00;0.00;10.00;547.00;68.40;2.50;331.00;11.90;22.70;844.70;-;1032.90;1619.20;-;-;-;-;-;-;-
LAC;202404111520;15.90;0.00;-;-;51.70;6.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202404111520;15.10;0.00;10.00;469.00;55.10;6.20;136.00;9.40;28.80;944.50;-;1032.10;1629.00;-;-;-;-;-;-;-
MLS;202404111520;6.70;0.00;0.00;178.00;64.90;0.60;74.00;9.40;11.90;813.90;-;1033.30;1617.50;-;-;-;-;-;-;-
LEI;202404111520;16.90;0.00;2.00;176.00;49.30;6.20;181.00;4.70;11.20;991.50;1032.00;1032.60;-;-;-;-;-;-;-;-
ATT;202404111520;5.60;-;10.00;567.00;55.70;-2.50;3.00;1.80;4.70;741.40;-;1034.70;-;3203.20;-;-;-;-;-;-
CHB;202404111520;12.20;0.00;-;-;59.50;4.60;64.00;11.50;15.10;911.10;-;1032.40;1624.10;-;-;-;-;-;-;-
DIA;202404111520;1.50;-;-;525.00;66.20;-4.10;108.00;21.20;22.70;720.40;-;1035.00;-;3195.90;-;-;-;-;-;-
MAR;202404111520;11.90;0.00;-;-;64.70;5.50;171.00;5.80;14.40;-;-;-;-;-;-;-;-;-;-;-
OTL;202404111520;20.80;0.00;10.00;430.00;45.10;8.50;236.00;8.30;21.60;982.90;1026.20;1027.60;-;-;-;-;-;-;-;-
LUG;202404111520;19.10;0.00;10.00;422.00;54.90;9.80;193.00;19.40;26.30;991.50;1026.70;1027.60;-;-;-;-;-;-;-;-
LUZ;202404111520;16.20;0.00;10.00;446.00;47.70;5.10;25.00;10.40;19.10;978.40;1031.90;1032.80;-;-;-;-;-;-;-;-
LAE;202404111520;11.90;-;10.00;456.00;55.00;3.20;55.00;5.40;13.00;934.10;-;1033.20;1628.60;-;-;-;-;-;-;-
MAG;202404111520;21.30;0.00;10.00;417.00;47.90;9.80;267.00;16.60;26.60;1002.10;1026.00;1026.70;-;-;-;-;-;-;-;-
MAS;202404111520;13.40;0.00;-;-;63.80;6.70;356.00;11.20;16.60;-;-;-;-;-;-;-;-;-;-;-
MAH;202404111520;16.40;0.00;10.00;467.00;49.80;5.90;45.00;11.20;22.00;980.10;1031.40;1032.20;-;-;-;-;-;-;-;-
MTR;202404111520;9.00;-;10.00;473.00;51.10;-0.60;317.00;13.30;17.30;792.60;-;1033.40;1606.70;-;-;-;-;-;-;-
MER;202404111520;15.80;0.00;10.00;441.00;53.70;6.40;242.00;14.00;23.40;961.70;1030.30;1031.50;-;-;-;-;-;-;-;-
MOB;202404111520;15.90;0.00;-;-;50.20;5.60;325.00;14.00;20.90;932.10;-;1030.30;1616.60;-;-;-;-;-;-;-
MVE;202404111520;12.80;0.00;10.00;484.00;56.90;4.50;276.00;5.40;10.10;869.30;-;1031.50;1612.60;-;-;-;-;-;-;-
GEN;202404111520;12.70;0.00;10.00;455.00;72.40;7.90;135.00;4.30;12.20;850.70;-;1031.50;1608.20;-;-;-;-;-;-;-
MRP;202404111520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MOA;202404111520;16.70;0.00;10.00;459.00;46.40;5.20;96.00;7.20;14.80;978.70;1031.90;1032.90;-;-;-;-;-;-;-;-
MTE;202404111520;9.70;0.00;0.00;90.00;63.10;3.00;217.00;3.60;6.10;853.30;-;1032.00;1613.10;-;-;-;-;-;-;-
MOE;202404111520;15.80;0.00;0.00;290.00;52.20;6.00;290.00;10.10;15.50;991.80;1032.60;1033.10;-;-;-;-;-;-;-;-
MUB;202404111520;15.70;0.00;0.00;271.00;47.50;4.60;55.00;11.20;19.10;974.90;1031.40;1032.20;-;-;-;-;-;-;-;-
NAS;202404111520;7.10;-;10.00;457.00;62.20;0.40;109.00;2.90;9.00;774.70;-;1034.30;-;3207.80;-;-;-;-;-;-
NAP;202404111520;9.10;0.00;10.00;484.00;70.10;3.90;344.00;9.70;20.50;872.70;-;1033.10;1623.40;-;-;-;-;-;-;-
NEU;202404111520;16.50;0.00;10.00;539.00;47.00;5.20;83.00;13.00;19.10;974.30;1031.10;1032.10;-;-;-;-;-;-;-;-
CGI;202404111520;15.90;0.00;10.00;423.00;48.20;5.00;57.00;9.70;16.90;976.90;1030.90;1031.70;-;-;-;-;-;-;-;-
OBR;202404111520;15.70;0.00;-;-;53.20;6.20;29.00;11.90;19.80;983.90;1032.30;1032.90;-;-;-;-;-;-;-;-
AEG;202404111520;-;-;-;-;-;-;308.00;7.60;12.60;-;-;-;-;-;-;-;-;-;-;-
ORO;202404111520;12.60;0.00;0.00;279.00;61.80;5.50;4.00;17.30;23.40;934.90;-;1032.10;1621.40;-;-;-;-;-;-;-
BEH;202404111520;6.10;0.00;10.00;446.00;60.70;-0.90;314.00;14.00;17.60;786.50;-;1034.40;1619.00;-;-;-;-;-;-;-
PAY;202404111520;15.90;0.00;3.00;357.00;48.90;5.20;54.00;8.30;13.70;973.70;1031.20;1032.10;-;-;-;-;-;-;-;-
PIL;202404111520;6.40;0.00;10.00;488.00;51.00;-3.00;139.00;10.40;12.20;801.40;-;1033.70;1617.50;-;-;-;-;-;-;-
PIO;202404111520;18.70;0.00;10.00;444.00;36.30;3.50;263.00;22.30;34.20;914.10;-;1029.10;1610.90;-;-;-;-;-;-;-
COV;202404111520;0.20;0.00;10.00;454.00;66.60;-5.30;59.00;13.00;17.30;691.40;-;1036.70;-;3203.20;-;-;-;-;-;-
PMA;202404111520;3.50;0.00;10.00;492.00;63.30;-2.80;14.00;11.90;16.90;747.70;-;1034.90;-;3201.70;-;-;-;-;-;-
